molecule_chembl_id,smiles,skel,ABL1,c-KIT,PDGFRB,scaffold,split
CHEMBL3689621,Cc1cc(C(=O)O)ncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,KTODOJCZZWDEPR,1,-1,-1,O=C(Nc1cc2ccc(-c3cccnc3)cc2cn1)C1CC1,train
CHEMBL3689622,Cc1ccc(F)cc1-c1ccc2cc(C(=O)NC3CCC3)ncc2c1,PWMDLECWQRELMA,1,-1,-1,O=C(NC1CCC1)c1cc2ccc(-c3ccccc3)cc2cn1,train
CHEMBL3689623,Cc1c(F)cc(C(=O)NC2COC2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,XWGFKFXLSYBZBS,1,-1,-1,O=C(NC1COC1)c1cccc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1,train
CHEMBL3689624,Cc1ccc(C(=O)NC2COC2)c(F)c1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,LOMZCQGIVNWXOZ,1,-1,-1,O=C(NC1COC1)c1cccc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1,train
CHEMBL3689625,Cc1ccc(C(=O)NC2CCOCC2)c(F)c1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,WPEVYSPLVDZIAT,1,-1,-1,O=C(NC1CCOCC1)c1cccc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1,train
CHEMBL3689626,Cc1c(F)cc(NC(=O)C2CCC2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,RGWFWYOEZNZTNQ,1,-1,-1,O=C(Nc1cccc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1)C1CCC1,train
CHEMBL3689627,Cc1cc(C(C)(C)O)ccc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,PIUOKQXUOGNNFJ,1,-1,-1,O=C(Nc1cc2ccc(-c3ccccc3)cc2cn1)C1CC1,train
CHEMBL3689628,Cc1ccc(NC(=O)C2CCC2)c(F)c1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,KUXJYRWVDPRJJZ,1,-1,-1,O=C(Nc1cccc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1)C1CCC1,train
CHEMBL3689629,Cc1ccc(C(=O)NC2(C)COC2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,TUWVOYNQIYKUSZ,1,-1,-1,O=C(NC1COC1)c1cccc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1,train
CHEMBL3689630,Cc1ccc(C(=O)NC2(C)COC2)cc1-c1ccc2cc(NC(=O)[C@@H]3C[C@@H]3F)ncc2c1,ZZGWUOONBJAZLX,1,-1,-1,O=C(NC1COC1)c1cccc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1,train
CHEMBL3689631,Cc1cc([C@H](O)C(F)(F)F)ncc1-c1ccc2cc(NC(=O)C3C[C@@H]3F)ncc2c1,LTXJULOSIPKSDB,1,-1,-1,O=C(Nc1cc2ccc(-c3cccnc3)cc2cn1)C1CC1,train
CHEMBL3689632,Cc1cc([C@@H](O)C(F)(F)F)ncc1-c1ccc2cc(NC(=O)C3C[C@@H]3F)ncc2c1,LTXJULOSIPKSDB,1,-1,-1,O=C(Nc1cc2ccc(-c3cccnc3)cc2cn1)C1CC1,train
CHEMBL3689633,CNC(=O)Nc1cc2ccc(-c3cnccc3C)cc2cn1,YKSNHFYWUVHFEC,1,-1,-1,c1cncc(-c2ccc3ccncc3c2)c1,train
CHEMBL3689634,O=C(Nc1cc2cnc(-c3cc(F)ccc3Cl)cc2cn1)C1CC1,UBJRQWLUFQBPNS,1,-1,-1,O=C(Nc1cc2cnc(-c3ccccc3)cc2cn1)C1CC1,train
CHEMBL3689635,O=C(Nc1cc2c(Cl)nc(-c3ccccc3Cl)cc2cn1)C1CC1,HBJYBFDTRCDHLJ,1,-1,-1,O=C(Nc1cc2cnc(-c3ccccc3)cc2cn1)C1CC1,train
CHEMBL3689636,Cc1nc(-c2ccccc2Cl)cc2cnc(NC(=O)C3CC3)cc12,IDFFXWIECVVHHE,1,-1,-1,O=C(Nc1cc2cnc(-c3ccccc3)cc2cn1)C1CC1,train
CHEMBL3689637,O=C(Nc1cc2cnc(-c3ccccc3Cl)cc2cn1)C1CC1,FNZNKHMGGWAARB,1,-1,-1,O=C(Nc1cc2cnc(-c3ccccc3)cc2cn1)C1CC1,train
CHEMBL3689638,O=C(Nc1cc2cnc(-c3ccccc3Cl)c(O)c2cn1)C1CC1,MVVHOSDTUNMJDA,1,-1,-1,O=C(Nc1cc2cnc(-c3ccccc3)cc2cn1)C1CC1,train
CHEMBL3689639,O=C(Nc1cc2c(=O)[nH]c(-c3ccccc3Cl)cc2cn1)C1CC1,ZQCXHWQKPBOCPK,1,-1,-1,O=C(Nc1cc2c(=O)[nH]c(-c3ccccc3)cc2cn1)C1CC1,test
CHEMBL3689640,O=C(Nc1cc2c[n+]([O-])c(-c3ccccc3Cl)cc2cn1)C1CC1,OVFCEYUVTJTSFT,1,-1,-1,O=C(Nc1cc2c[nH+]c(-c3ccccc3)cc2cn1)C1CC1,train
CHEMBL3689641,COc1nc(-c2ccccc2Cl)cc2cnc(NC(=O)C3CC3)cc12,VFXBZYUJHDYFJV,1,-1,-1,O=C(Nc1cc2cnc(-c3ccccc3)cc2cn1)C1CC1,train
CHEMBL3689642,CCc1nc(-c2ccccc2Cl)cc2cnc(NC(=O)C3CC3)cc12,LBSCSPVPNWQYLR,1,-1,-1,O=C(Nc1cc2cnc(-c3ccccc3)cc2cn1)C1CC1,train
CHEMBL3689643,O=C(Nc1cc2c(C3CC3)nc(-c3ccccc3Cl)cc2cn1)C1CC1,MLKFNFUGPCNQHD,1,-1,-1,O=C(Nc1cc2c(C3CC3)nc(-c3ccccc3)cc2cn1)C1CC1,train
CHEMBL3689644,O=C(Nc1cc2cnc(C3CCCCC3)cc2cn1)C1CC1,PEHSBLYFVRSQFU,1,-1,-1,O=C(Nc1cc2cnc(C3CCCCC3)cc2cn1)C1CC1,train
CHEMBL3689645,Cc1ccncc1-c1cc2cnc(NC(=O)C3CC3)cc2cn1,QNJSMJIGXJIOIL,1,-1,-1,O=C(Nc1cc2cnc(-c3cccnc3)cc2cn1)C1CC1,train
CHEMBL3689646,Cc1ccc(F)cc1-c1cc2cnc(NC(=O)C3CC3)cc2cn1,VVMQFKFIPNVPHQ,1,-1,-1,O=C(Nc1cc2cnc(-c3ccccc3)cc2cn1)C1CC1,train
CHEMBL3689647,Cc1ccc(F)cc1-c1cc2cnc(NC(=O)C3CC3)cc2c(C)[n+]1[O-],KNHAVVVVHAKBJV,1,-1,-1,O=C(Nc1cc2c[nH+]c(-c3ccccc3)cc2cn1)C1CC1,train
